lam1,lam2,h,pi1,pi2,T,I2,tau0,cu,Ibar_now,floor_future,waiting_now,overtaken_later,V,instance
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,4.855,13,7,TRUE,TRUE,1479.334368,20
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,6.034,13,8,TRUE,TRUE,1479.876328,20
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,7.213,14,9,TRUE,TRUE,1480.233084,20
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,8.393,14,10,TRUE,TRUE,1480.438761,20
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,9.572,14,11,TRUE,TRUE,1480.533228,20
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,10.751,15,12,TRUE,TRUE,1480.560814,20
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,11.93,15,13,TRUE,FALSE,1480.562311,20
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,13.109,16,14,TRUE,FALSE,1480.562311,20
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,14.288,16,15,TRUE,FALSE,1480.562311,20
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,15.467,17,16,TRUE,FALSE,1480.562311,20
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,16.646,17,17,TRUE,FALSE,1480.562311,20
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,4.151,4,2,TRUE,TRUE,349.2130408,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,6.112,4,3,TRUE,TRUE,349.388391,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,8.072,4,3,TRUE,TRUE,349.4338453,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,10.033,5,4,TRUE,FALSE,349.4347568,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,11.993,5,5,TRUE,FALSE,349.4347568,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,13.953,6,5,TRUE,FALSE,349.4347568,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,15.914,6,6,TRUE,FALSE,349.4347568,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,17.874,6,6,TRUE,FALSE,349.4347568,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,19.834,7,7,TRUE,FALSE,349.4347568,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,21.795,7,7,TRUE,FALSE,349.4347568,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,23.755,8,8,TRUE,FALSE,349.4347568,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,25.716,9,9,TRUE,FALSE,349.4347568,21
3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,27.676,9,9,TRUE,FALSE,349.4347568,21
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,1.554,9,4,TRUE,TRUE,68.39306426,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,2.288,10,6,TRUE,TRUE,68.40022564,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,3.022,11,8,TRUE,TRUE,68.40037548,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,3.756,12,9,TRUE,FALSE,68.40037711,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,4.49,13,11,TRUE,FALSE,68.40037711,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,5.224,14,12,TRUE,FALSE,68.40037711,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,5.958,15,14,TRUE,FALSE,68.40037711,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,6.692,16,15,TRUE,FALSE,68.40037711,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,7.426,18,17,TRUE,FALSE,68.40037711,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,8.16,19,18,TRUE,FALSE,68.40037711,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,8.894,20,20,TRUE,FALSE,68.40037711,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,9.628,21,21,TRUE,FALSE,68.40037711,22
2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,10.362,23,23,TRUE,FALSE,68.40037711,22
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,3.641,2,1,TRUE,TRUE,473.5861181,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,5.36,2,2,TRUE,FALSE,473.7856581,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,7.08,2,2,TRUE,FALSE,473.7856581,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,8.799,2,2,TRUE,FALSE,473.7856581,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,10.518,2,2,TRUE,FALSE,473.7856581,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,12.237,2,2,TRUE,FALSE,473.7856581,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,13.957,3,3,TRUE,FALSE,473.7856581,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,15.676,3,3,TRUE,FALSE,473.7856581,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,17.395,3,3,TRUE,FALSE,473.7856581,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,19.115,3,3,TRUE,FALSE,473.7856581,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,20.834,3,3,TRUE,FALSE,473.7856581,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,22.553,3,3,TRUE,FALSE,473.7856581,23
6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,24.273,4,4,TRUE,FALSE,473.7856581,23
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,0.914,4,2,TRUE,TRUE,24.1586891,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,1.345,4,3,TRUE,TRUE,24.24317292,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,1.777,4,3,TRUE,TRUE,24.27093756,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,2.209,4,4,TRUE,FALSE,24.27579448,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,2.64,5,4,TRUE,FALSE,24.27579448,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,3.072,5,5,TRUE,FALSE,24.27579448,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,3.503,6,5,TRUE,FALSE,24.27579448,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,3.935,6,6,TRUE,FALSE,24.27579448,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,4.367,6,6,TRUE,FALSE,24.27579448,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,4.798,7,7,TRUE,FALSE,24.27579448,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,5.23,7,7,TRUE,FALSE,24.27579448,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,5.661,8,8,TRUE,FALSE,24.27579448,24
2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,6.093,9,9,TRUE,FALSE,24.27579448,24
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,5.683,3,2,TRUE,TRUE,2086.333757,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,8.366,3,2,TRUE,TRUE,2086.596537,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,11.05,3,3,TRUE,FALSE,2086.66111,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,13.733,4,3,TRUE,FALSE,2086.66111,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,16.417,4,4,TRUE,FALSE,2086.66111,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,19.101,4,4,TRUE,FALSE,2086.66111,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,21.784,4,4,TRUE,FALSE,2086.66111,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,24.468,5,5,TRUE,FALSE,2086.66111,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,27.151,5,5,TRUE,FALSE,2086.66111,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,29.835,6,6,TRUE,FALSE,2086.66111,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,32.518,6,6,TRUE,FALSE,2086.66111,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,35.202,6,6,TRUE,FALSE,2086.66111,25
16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,37.885,7,7,TRUE,FALSE,2086.66111,25
